         4980843980 function calls (4980842900 primitive calls) in 3733.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 inference.py:160(is_file_like)
      131    0.000    0.000    0.004    0.000 inference.py:253(is_list_like)
        1    0.000    0.000    0.000    0.000 inference.py:438(is_hashable)
        3    0.000    0.000    0.000    0.000 managers.py:139(shape)
        9    0.000    0.000    0.000    0.000 managers.py:141(<genexpr>)
        3    0.000    0.000    0.000    0.000 managers.py:143(ndim)
        2    0.000    0.000    0.001    0.000 managers.py:1443(__init__)
        7    0.000    0.000    0.000    0.000 managers.py:1488(_block)
        1    0.000    0.000    0.000    0.000 managers.py:1522(dtype)
        1    0.000    0.000    0.000    0.000 managers.py:1546(external_values)
        5    0.000    0.000    0.000    0.000 managers.py:1549(internal_values)
        1    0.000    0.000    0.000    0.000 managers.py:1572(is_consolidated)
        1    0.000    0.000    0.010    0.010 managers.py:1663(create_block_manager_from_arrays)
        1    0.001    0.001    0.009    0.009 managers.py:1696(form_blocks)
        2    0.000    0.000    0.000    0.000 managers.py:174(_is_single_block)
        1    0.000    0.000    0.001    0.001 managers.py:1810(_multi_blockify)
      123    0.000    0.000    0.000    0.000 managers.py:1814(<lambda>)
        1    0.000    0.000    0.001    0.001 managers.py:1841(_stack_arrays)
      123    0.000    0.000    0.001    0.000 managers.py:1844(_asarray_compat)
        1    0.000    0.000    0.000    0.000 managers.py:1850(_shape_compat)
        1    0.000    0.000    0.000    0.000 managers.py:186(_rebuild_blknos_and_blklocs)
        3    0.000    0.000    0.000    0.000 managers.py:206(items)
        2    0.000    0.000    0.000    0.000 managers.py:291(__len__)
        1    0.000    0.000    0.000    0.000 managers.py:306(_verify_integrity)
        2    0.000    0.000    0.000    0.000 managers.py:308(<genexpr>)
        2    0.000    0.000    0.000    0.000 managers.py:591(is_consolidated)
        1    0.000    0.000    0.000    0.000 managers.py:599(_consolidate_check)
        1    0.000    0.000    0.000    0.000 managers.py:600(<listcomp>)
        1    0.000    0.000    0.000    0.000 managers.py:736(as_array)
        2    0.000    0.000    0.000    0.000 managers.py:911(consolidate)
        1    0.000    0.000    0.000    0.000 managers.py:927(_consolidate_inplace)
        1    0.000    0.000    0.000    0.000 managers.py:97(__init__)
        1    0.000    0.000    0.000    0.000 managers.py:98(<listcomp>)
        2    0.000    0.000    0.001    0.000 missing.py:105(_isna_new)
        2    0.000    0.000    0.000    0.000 missing.py:183(_isna_ndarraylike)
        2    0.000    0.000    0.001    0.000 missing.py:25(isna)
        2    0.000    0.000    0.000    0.000 missing.py:360(array_equivalent)
        1    0.000    0.000    0.000    0.000 missing.py:530(clean_reindex_fill_method)
        1    0.000    0.000    0.000    0.000 missing.py:71(clean_fill_method)
    29768    0.010    0.000    0.010    0.000 multiarray.py:1043(copyto)
        1    0.000    0.000    0.000    0.000 multiarray.py:1078(putmask)
      123    0.000    0.000    0.000    0.000 multiarray.py:145(concatenate)
        1    0.000    0.000    0.000    0.000 nanops.py:180(_get_fill_value)
        1    0.000    0.000    0.001    0.001 nanops.py:203(_get_values)
        1    0.000    0.000    0.000    0.000 nanops.py:270(_na_ok_dtype)
        1    0.000    0.000    0.001    0.001 nanops.py:337(nanany)
        3    0.000    0.000    0.000    0.000 numeric.py:113(is_all_dates)
    29768    0.068    0.000    0.433    0.000 numeric.py:166(ones)
        2    0.000    0.000    0.000    0.000 numeric.py:2295(_array_equal_dispatcher)
        2    0.000    0.000    0.000    0.000 numeric.py:2299(array_equal)
        3    0.000    0.000    0.000    0.000 numeric.py:34(__new__)
      256    0.000    0.000    0.000    0.000 numerictypes.py:293(issubclass_)
      128    0.000    0.000    0.001    0.000 numerictypes.py:365(issubdtype)
        6    0.000    0.000    0.000    0.000 parse.py:101(_coerce_args)
        3    0.000    0.000    0.000    0.000 parse.py:351(urlparse)
        3    0.000    0.000    0.000    0.000 parse.py:384(urlsplit)
        6    0.000    0.000    0.000    0.000 parse.py:90(_noop)
        1    0.000    0.000    0.002    0.002 parsers.py:1120(_make_engine)
        1    0.000    0.000    0.043    0.043 parsers.py:1137(read)
        1    0.000    0.000    0.000    0.000 parsers.py:1162(_create_index)
        3    0.000    0.000    0.000    0.000 parsers.py:1176(_is_index_col)
        3    0.000    0.000    0.000    0.000 parsers.py:1180(_is_potential_multi_index)
        6    0.000    0.000    0.000    0.000 parsers.py:1195(<genexpr>)
        1    0.000    0.000    0.000    0.000 parsers.py:1274(_validate_usecols_arg)
        1    0.000    0.000    0.000    0.000 parsers.py:1329(_validate_parse_dates_arg)
        1    0.000    0.000    0.000    0.000 parsers.py:1352(__init__)
        1    0.000    0.000    0.000    0.000 parsers.py:1423(_has_complex_date_col)
        1    0.000    0.000    0.000    0.000 parsers.py:1502(_maybe_dedup_names)
        2    0.000    0.000    0.000    0.000 parsers.py:1530(_maybe_make_multi_index_columns)
        1    0.000    0.000    0.000    0.000 parsers.py:1536(_make_index)
        1    0.000    0.000    0.000    0.000 parsers.py:1814(_do_date_conversions)
        1    0.002    0.002    0.002    0.002 parsers.py:1830(__init__)
        1    0.000    0.000    0.000    0.000 parsers.py:1926(close)
        1    0.000    0.000    0.000    0.000 parsers.py:1936(_set_noconvert_columns)
        1    0.000    0.000    0.011    0.011 parsers.py:1993(read)
        1    0.000    0.000    0.000    0.000 parsers.py:2064(<listcomp>)
        1    0.000    0.000    0.000    0.000 parsers.py:2066(<dictcomp>)
        1    0.000    0.000    0.000    0.000 parsers.py:3157(_make_date_converter)
        1    0.000    0.000    0.000    0.000 parsers.py:3195(_process_date_conversion)
        1    0.000    0.000    0.000    0.000 parsers.py:3278(_clean_na_values)
        2    0.000    0.000    0.000    0.000 parsers.py:347(_validate_integer)
        1    0.000    0.000    0.000    0.000 parsers.py:377(_validate_names)
        1    0.000    0.000    0.047    0.047 parsers.py:403(_read)
        1    0.001    0.001    0.049    0.049 parsers.py:536(parser_f)
        1    0.000    0.000    0.002    0.002 parsers.py:813(__init__)
        1    0.000    0.000    0.000    0.000 parsers.py:897(close)
        1    0.000    0.000    0.000    0.000 parsers.py:900(_get_options_with_defaults)
        1    0.000    0.000    0.000    0.000 parsers.py:939(_check_file_or_buffer)
        1    0.000    0.000    0.000    0.000 parsers.py:956(_clean_options)
        3    0.000    0.000    0.000    0.000 posixpath.py:230(expanduser)
    83853    0.085    0.000    0.122    0.000 random.py:222(_randbelow)
       22    0.064    0.003    0.186    0.008 random.py:260(shuffle)
        1    0.000    0.000    0.000    0.000 range.py:136(_simple_new)
        1    0.000    0.000    0.000    0.000 range.py:165(_validate_dtype)
      126    0.000    0.000    0.000    0.000 range.py:510(__len__)
        1    0.000    0.000    0.000    0.000 range.py:69(__new__)
        2    0.000    0.000    0.000    0.000 range.py:89(ensure_int)
      3/2    0.000    0.000    0.008    0.004 series.py:152(__init__)
        1    0.000    0.000    0.003    0.003 series.py:271(_init_dict)
        3    0.000    0.000    0.000    0.000 series.py:354(_set_axis)
        1    0.000    0.000    0.001    0.001 series.py:3600(_reduce)
        1    0.000    0.000    0.000    0.000 series.py:3735(reindex)
        3    0.000    0.000    0.000    0.000 series.py:382(_set_subtyp)
        5    0.000    0.000    0.000    0.000 series.py:392(name)
        4    0.000    0.000    0.000    0.000 series.py:399(name)
        1    0.000    0.000    0.000    0.000 series.py:406(dtype)
        1    0.000    0.000    0.001    0.001 series.py:4209(isnull)
