         31511131 function calls (31313021 primitive calls) in 76.056 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 generic.py:5250(values)
     4980    0.003    0.000    0.007    0.000 generic.py:7(_check)
        1    0.000    0.000    0.000    0.000 generic.py:7083(isnull)
      732    0.003    0.000    0.076    0.000 getlimits.py:365(__new__)
        2    0.000    0.000    0.488    0.244 graphical_model.py:114(copy)
        2    0.013    0.006    0.367    0.183 graphical_model.py:115(<listcomp>)
      123    0.000    0.000    0.000    0.000 graphical_model.py:24(add_variable)
        1    0.000    0.000    0.000    0.000 graphical_model.py:27(add_variables_from)
        1    0.000    0.000    0.000    0.000 graphical_model.py:31(remove_variable)
    89426    0.454    0.000    2.164    0.000 graphical_model.py:38(get_cardinality_for_)
   178852    1.425    0.000    1.425    0.000 graphical_model.py:39(<genexpr>)
     1465    2.858    0.002    2.900    0.002 graphical_model.py:67(get_adj_factors)
        3    0.007    0.002    0.121    0.040 graphical_model.py:8(__init__)
    22755    0.192    0.000    0.208    0.000 graphical_model.py:82(add_factor)
        1    0.000    0.000    0.008    0.008 graphical_model.py:94(remove_factors_from)
      244    0.106    0.000    0.106    0.000 graphical_model.py:98(get_factor)
        5    0.000    0.000    0.000    0.000 inference.py:121(is_iterator)
        1    0.000    0.000    0.000    0.000 inference.py:160(is_file_like)
      131    0.000    0.000    0.003    0.000 inference.py:253(is_list_like)
        1    0.000    0.000    0.000    0.000 inference.py:438(is_hashable)
        3    0.000    0.000    0.000    0.000 managers.py:139(shape)
        9    0.000    0.000    0.000    0.000 managers.py:141(<genexpr>)
        3    0.000    0.000    0.000    0.000 managers.py:143(ndim)
        2    0.000    0.000    0.001    0.000 managers.py:1443(__init__)
        7    0.000    0.000    0.000    0.000 managers.py:1488(_block)
        1    0.000    0.000    0.000    0.000 managers.py:1522(dtype)
        1    0.000    0.000    0.000    0.000 managers.py:1546(external_values)
        5    0.000    0.000    0.000    0.000 managers.py:1549(internal_values)
        1    0.000    0.000    0.000    0.000 managers.py:1572(is_consolidated)
        1    0.000    0.000    0.010    0.010 managers.py:1663(create_block_manager_from_arrays)
        1    0.001    0.001    0.009    0.009 managers.py:1696(form_blocks)
        2    0.000    0.000    0.000    0.000 managers.py:174(_is_single_block)
        1    0.000    0.000    0.001    0.001 managers.py:1810(_multi_blockify)
      123    0.000    0.000    0.000    0.000 managers.py:1814(<lambda>)
        1    0.000    0.000    0.001    0.001 managers.py:1841(_stack_arrays)
      123    0.000    0.000    0.000    0.000 managers.py:1844(_asarray_compat)
        1    0.000    0.000    0.000    0.000 managers.py:1850(_shape_compat)
